PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,OpenW,OpenH,AvgOpenW,AvgOpenH,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP0.ppp,2,38,0.60,0.43,0.97,0.58,24,40,20,0.63,15.68,5.14,100.00,100.00,100.00,82.90,2.40,17.60,77.20,100.00,90.70,98.30
PPP1.ppp,3,38,0.50,0.25,0.83,0.84,0,40,20,0.59,13.73,4.06,100.00,100.00,100.00,81.00,1.50,9.30,69.50,93.40,0.00,0.00
PPP2.ppp,3,38,0.49,0.76,1.32,0.46,0,40,20,0.85,13.18,6.71,100.00,100.00,0.00,80.10,3.70,18.60,72.70,92.70,0.00,0.00
PPP3.ppp,2,38,0.38,0.44,0.83,0.86,4,40,20,0.63,10.77,4.16,100.00,100.00,100.00,94.10,1.60,13.10,62.70,99.70,75.30,86.70
PPP4.ppp,3,38,0.18,0.30,0.65,1.00,0,40,20,0.61,10.68,2.87,100.00,100.00,0.00,90.00,2.20,29.40,72.30,95.10,40.90,40.70
PPP5.ppp,2,38,0.21,0.34,0.81,0.84,4,40,20,0.65,10.73,3.84,100.00,100.00,100.00,87.90,1.00,19.00,59.00,98.00,82.20,92.90
PPP6.ppp,2,38,0.23,0.39,0.64,0.96,0,40,20,0.49,11.09,2.98,100.00,100.00,100.00,92.80,0.90,30.30,71.10,80.20,87.80,88.50
PPP7.ppp,2,38,0.21,0.26,0.60,1.02,0,40,20,0.58,12.55,2.88,100.00,95.90,100.00,82.00,2.40,18.10,71.00,97.30,99.60,100.00
PPP8.ppp,2,38,0.19,0.33,0.84,0.82,4,40,20,0.62,11.86,3.81,100.00,100.00,100.00,60.30,1.50,17.10,48.60,62.40,68.10,83.10
PPP9.ppp,2,38,0.80,0.73,1.51,0.40,24,40,20,0.81,14.55,7.49,100.00,100.00,100.00,95.70,3.90,13.00,74.10,100.00,65.90,75.30
PPP10.ppp,3,38,0.46,0.31,1.07,0.54,0,40,20,0.77,14.68,5.37,100.00,100.00,0.00,72.10,2.00,7.70,66.80,99.80,0.00,0.00
PPP11.ppp,2,38,0.18,0.39,0.61,1.12,0,40,20,0.51,10.18,2.52,100.00,0.00,100.00,70.30,1.30,9.30,66.10,75.80,39.50,37.30
PPP12.ppp,4,38,0.10,0.56,0.74,1.00,0,34,20,0.55,15.14,2.69,100.00,0.00,100.00,68.10,0.50,10.80,50.10,100.00,64.10,60.10
PPP13.ppp,3,38,0.17,0.54,0.75,1.00,98,40,20,0.59,13.55,3.08,100.00,100.00,100.00,85.40,1.80,20.00,79.90,100.00,71.10,79.30
PPP14.ppp,7,52,0.14,0.12,0.82,0.98,0,30,20,0.56,14.68,2.99,100.00,100.00,100.00,73.00,0.40,20.00,59.10,100.00,23.20,19.40
PPP15.ppp,3,38,0.49,0.48,1.06,0.54,0,40,20,0.76,13.45,5.42,100.00,100.00,0.00,79.30,2.40,3.00,70.40,89.90,0.00,0.00
PPP16.ppp,2,38,0.06,0.59,0.78,1.00,70,40,20,0.57,15.64,2.75,100.00,85.50,100.00,49.20,0.00,6.90,27.30,100.00,87.30,97.00
PPP17.ppp,4,38,0.17,0.31,0.67,1.00,0,40,20,0.56,12.18,2.94,100.00,100.00,0.00,38.90,0.70,21.50,42.20,90.40,52.10,47.90
PPP18.ppp,5,40,0.01,0.64,0.88,1.00,22,40,20,0.60,12.95,3.00,100.00,0.00,0.00,57.70,0.00,0.80,39.60,96.30,0.00,0.00
PPP19.ppp,9,38,0.33,0.30,0.64,1.00,18,30,20,0.51,9.68,2.93,100.00,100.00,88.60,85.20,0.80,10.60,65.30,100.00,0.00,0.00
PPP20.ppp,3,38,0.12,0.29,0.81,0.94,0,40,20,0.69,10.27,3.28,100.00,0.00,0.00,48.70,0.20,4.40,34.10,84.10,0.00,0.00
PPP21.ppp,3,38,0.19,0.80,1.24,0.52,0,40,20,0.81,14.64,5.57,100.00,100.00,0.00,69.80,1.90,6.50,60.90,98.20,0.00,0.00
PPP22.ppp,3,38,0.45,0.33,0.95,0.58,0,40,20,0.73,14.09,4.81,100.00,100.00,0.00,89.60,1.50,6.70,74.00,97.10,58.60,64.50
PPP23.ppp,3,38,0.36,0.16,0.52,1.00,0,40,18,0.62,9.18,2.77,100.00,0.00,0.00,98.30,1.30,36.00,78.10,100.00,0.00,0.00
PPP24.ppp,3,38,0.43,0.71,1.18,0.42,0,40,20,0.83,15.14,6.04,100.00,100.00,0.00,69.60,2.60,13.60,67.10,99.60,51.10,46.90
PPP25.ppp,3,38,0.42,0.34,0.91,0.66,0,40,20,0.66,13.59,4.76,100.00,100.00,100.00,73.50,2.20,4.30,64.20,93.00,0.00,0.00
PPP26.ppp,2,38,0.24,0.08,0.60,1.00,0,40,20,0.57,11.82,2.69,100.00,100.00,100.00,81.70,0.90,38.60,58.10,99.20,99.90,100.00
PPP27.ppp,3,38,0.14,0.54,0.74,1.00,0,40,20,0.59,15.41,3.00,100.00,100.00,100.00,87.70,1.20,10.40,76.70,100.00,83.00,80.20
PPP28.ppp,2,38,0.14,0.42,0.59,1.10,36,40,20,0.66,12.00,2.76,100.00,87.00,100.00,83.60,0.00,8.60,67.00,91.30,91.10,100.00
PPP29.ppp,2,38,0.81,0.78,1.48,0.38,24,40,20,0.83,14.77,7.46,100.00,0.00,100.00,92.90,4.00,4.50,80.30,99.30,92.80,95.10
PPP30.ppp,2,38,0.14,0.31,0.71,0.98,0,40,20,0.54,12.14,2.94,100.00,0.00,100.00,77.40,1.20,22.50,52.40,100.00,98.80,99.90
PPP31.ppp,4,38,0.05,0.38,0.69,0.94,42,24,19,0.50,13.41,2.73,100.00,49.60,100.00,37.70,0.00,3.50,17.60,74.40,0.00,0.00
PPP32.ppp,4,38,0.28,0.32,0.73,1.00,262,40,20,0.55,10.59,3.32,100.00,100.00,100.00,83.50,1.20,47.90,80.60,100.00,41.30,50.40
PPP33.ppp,2,38,0.68,0.59,1.16,0.50,0,40,20,0.75,14.91,6.15,100.00,0.00,100.00,89.20,3.20,10.00,76.90,99.30,0.00,0.00
PPP34.ppp,2,38,0.29,0.59,0.96,0.78,0,40,20,0.56,11.77,4.35,100.00,100.00,100.00,72.20,0.70,7.90,63.60,99.20,79.20,85.00
PPP35.ppp,2,38,0.36,0.29,1.05,0.70,4,40,20,0.64,15.36,4.82,100.00,100.00,100.00,82.90,2.10,15.00,71.10,100.00,0.00,0.00
PPP36.ppp,2,38,0.10,0.54,0.74,0.96,40,40,20,0.65,12.82,3.09,100.00,48.40,0.00,61.30,0.00,3.10,63.60,85.30,93.70,96.40
PPP37.ppp,4,38,0.17,0.71,1.39,0.48,0,40,20,0.73,14.00,6.02,100.00,87.90,0.00,52.50,0.80,5.60,57.10,96.40,0.00,0.00
PPP38.ppp,7,42,0.08,0.16,0.74,0.82,0,32,20,0.58,10.32,3.11,100.00,100.00,0.00,44.30,0.20,1.10,31.50,59.20,0.00,0.00
PPP39.ppp,4,38,0.06,0.17,0.78,0.98,0,32,20,0.54,11.09,2.67,100.00,50.60,100.00,26.90,0.00,4.80,16.10,40.60,53.20,52.30
PPP40.ppp,2,38,0.22,0.20,0.74,1.00,0,40,20,0.59,11.50,3.18,100.00,100.00,100.00,93.30,2.80,22.30,72.10,98.50,80.60,77.90
PPP41.ppp,2,38,0.59,0.23,1.08,0.72,0,32,20,0.65,13.64,5.04,100.00,100.00,0.00,80.70,2.20,5.80,70.40,95.70,82.50,84.20
PPP42.ppp,4,38,0.05,0.45,0.70,0.90,68,40,18,0.55,13.18,2.88,100.00,75.70,100.00,40.10,0.00,5.80,21.10,95.10,11.50,11.40
PPP43.ppp,2,38,0.17,0.42,0.60,1.00,0,40,20,0.50,10.18,2.64,100.00,100.00,100.00,70.40,1.00,5.50,60.00,85.40,28.70,29.10
PPP44.ppp,2,38,0.27,0.48,0.65,1.10,6,40,20,0.61,9.18,2.98,100.00,100.00,100.00,59.30,1.70,38.50,59.70,85.40,78.70,91.30
PPP45.ppp,3,38,0.42,0.22,0.48,0.98,2,40,18,0.68,10.41,2.83,100.00,0.00,0.00,97.60,0.80,11.40,78.10,100.00,0.00,0.00
PPP46.ppp,4,38,0.05,0.40,0.74,1.00,42,24,18,0.54,13.64,2.82,100.00,0.00,100.00,40.40,0.00,3.60,22.20,65.30,0.00,0.00
PPP47.ppp,4,38,0.05,0.45,0.78,0.94,70,40,18,0.54,12.95,3.04,100.00,74.20,100.00,39.50,0.00,4.90,19.30,99.30,61.10,56.70
PPP48.ppp,3,38,0.49,0.70,1.66,0.38,0,40,20,0.83,14.59,7.62,100.00,100.00,100.00,95.10,1.70,3.70,69.10,97.50,0.00,0.00
PPP49.ppp,4,38,0.12,0.59,0.76,1.06,0,34,20,0.54,15.68,2.62,100.00,0.00,100.00,51.70,0.60,12.40,39.90,100.00,50.40,43.10
PPP50.ppp,2,38,0.21,0.37,0.57,0.82,0,40,20,0.64,12.95,3.24,100.00,100.00,100.00,62.30,0.20,31.40,59.90,96.50,47.70,45.20
PPP51.ppp,3,38,0.37,0.37,0.55,1.00,30,40,19,0.53,13.91,2.78,100.00,100.00,100.00,72.00,1.10,33.50,73.00,97.70,69.20,77.60
PPP52.ppp,3,38,0.13,0.79,1.24,0.48,0,40,20,0.81,14.73,5.50,100.00,100.00,0.00,68.40,1.70,3.80,53.50,95.70,40.30,32.60
PPP53.ppp,6,38,0.29,0.38,0.62,1.00,96,40,12,0.55,8.32,3.04,100.00,77.60,0.00,69.40,1.40,23.10,61.20,77.40,0.00,0.00
PPP54.ppp,2,38,0.15,0.42,0.86,0.80,0,40,20,0.57,13.82,3.75,100.00,0.00,100.00,55.00,1.30,8.10,31.30,83.60,77.30,91.00
PPP55.ppp,2,38,0.44,0.21,0.79,0.90,6,40,20,0.65,11.09,3.77,100.00,100.00,0.00,72.20,1.60,20.80,57.80,99.40,26.40,15.20
PPP56.ppp,3,38,0.61,0.73,1.35,0.58,0,40,20,0.76,12.45,6.52,100.00,100.00,0.00,67.00,2.60,40.40,69.60,92.80,0.00,0.00
PPP57.ppp,4,38,0.22,0.08,0.52,0.80,6,36,20,0.66,11.05,3.15,100.00,75.80,100.00,87.00,1.20,26.60,79.80,100.00,0.00,0.00
PPP58.ppp,4,40,0.17,0.40,0.63,1.00,0,40,20,0.47,11.09,2.54,100.00,100.00,0.00,82.30,0.20,11.30,63.40,76.00,79.40,84.90
PPP59.ppp,5,46,0.45,0.08,0.89,0.90,0,30,20,0.52,11.64,3.69,100.00,100.00,100.00,60.80,0.10,2.70,63.70,99.60,0.00,0.00
